,near_fid,building,noise,in_vehicle,asleep,no_windows,age,Distance
0,2712,0,0,0,0,0,59,901.2835171952715
1,2721,0,0,0,0,0,29,972.0062595573587
2,297,0,0,0,0,0,32,872.3409237372916
3,739,0,0,0,0,0,36,257.804449158289
4,1852,0,0,0,0,0,55,529.6867912002735
5,2737,1,0,0,0,1,62,4023.1303330982328
6,3692,1,0,0,0,0,74,244.29345471355734
7,404,0,0,0,0,0,24,2157.2505799627506
8,133,0,0,0,0,0,66,727.5126535783137
9,2003,1,0,0,0,0,53,1407.236378520225
10,2430,1,0,0,0,0,39,1197.2158242649841
11,341,0,1,0,0,0,27,1524.4925108393031
12,743,0,1,0,0,0,55,393.46439100088713
13,1688,0,0,0,0,0,77,135.55476250959327
14,1272,1,0,0,0,0,57,313.2370116553036
15,563,0,0,0,0,0,52,352.48646069340145
16,1511,1,0,0,0,0,79,366.47120307428605
17,1481,1,0,0,0,0,44,419.02879303541494
18,845,0,0,0,0,0,19,578.3175579359331
19,3768,0,0,0,0,0,40,1132.469782912175
20,451,0,0,0,0,0,39,8152.152468822341
21,1505,0,1,0,0,0,26,1151.3560209178336
22,211,1,0,0,0,0,41,1213.833571842974
23,525,1,0,0,0,0,27,583.8491752722327
24,2823,0,0,0,0,0,51,710.2994897060139
25,535,0,0,0,0,0,77,893.330131293793
26,1543,1,0,0,0,0,73,86.43362857423848
27,3962,0,0,0,0,0,81,180.04306917687526
28,2929,1,0,0,0,0,63,334.61108008114246
29,3631,1,0,0,0,0,44,318.5978420670263
30,3906,0,1,1,0,0,52,64147.46340983406
31,2760,0,0,0,0,0,72,975.1342013010741
32,785,0,0,0,0,0,55,625.2407364152104
33,3894,0,0,0,0,0,78,1835.920916696768
34,3688,0,0,0,0,0,58,488.9181132797865
35,3630,0,0,0,0,0,41,206.51644508290894
36,104,0,0,0,0,0,71,387.626924184598
37,2808,0,0,0,0,0,39,492.53268862905367
38,180,0,0,1,0,0,63,1361.6938049440528
39,3518,1,1,0,0,0,46,379.68834086548407
40,90,1,0,0,0,0,22,283.03422386375127
41,226,0,1,0,0,0,72,732.1835806400246
42,99,0,0,0,0,0,66,31.952597775089597
43,94,0,0,0,0,0,82,219.0009106915379
44,2050,0,1,0,0,0,48,4277.217390270056
45,2059,0,0,0,0,0,51,3112.4626971707403
46,286,0,0,0,0,0,20,618.4381835758145
47,83,1,0,0,0,0,50,70.94686029030379
48,2741,0,0,0,0,0,71,479.8848543801786
49,146,0,0,0,0,0,42,145.88439688965997
50,4150,0,0,0,0,0,68,654.7011630449668
51,2628,0,0,0,0,0,32,20886.73396988267
52,2621,0,0,0,0,0,64,29746.36378028585
53,1896,1,1,0,0,0,57,476.31034437693484
54,1507,1,0,0,0,0,30,247.10540078918984
55,643,1,0,0,0,0,28,112.07779279988763
56,744,1,0,0,1,0,54,746.8153706415067
57,625,0,0,0,0,0,46,34939.666096585875
58,2556,0,1,0,0,0,71,113872.99856987636
59,2405,0,0,0,0,0,39,9140.580358067313
60,3925,0,0,0,0,0,78,1263.6639325447902
61,2679,0,1,1,0,0,38,2539.8419136682833
62,439,1,0,0,0,0,78,554.7328198732292
63,2407,1,0,0,1,1,20,789.2318240711957
64,976,0,0,0,0,0,44,3001.576484831241
65,1343,0,0,0,0,0,29,1791.2412081095615
66,1844,0,0,0,0,0,19,488.77249294352765
67,594,0,0,0,0,0,33,328.74927732531273
68,2853,0,0,0,0,0,27,628.1090509610611
69,584,0,0,1,0,0,69,1272.0560352669936
